experiment_id,episode_id,recorded_at,seed,agent_name,model_identifier,block,injected_fault_type,fault_intensity,fault_trigger,fault_duration,fault_occurred,success,crashed,timed_out,failure_reason,post_fault_completion_time_sim_steps,post_fault_completion_time_wall_seconds,total_sim_steps,total_wall_seconds,llm_total_tokens,llm_prompt_tokens,llm_completion_tokens,replan_count,agent_diagnosed_fault,fault_classification_correct,safety_violation_count,violent_collision_count,out_of_workspace_count,degradation_curve_json
phase_a_pilot,control_000,2026-08-14T18:01:37.588327+00:00,9025,openai,gpt-4o,red,none,0.0,none,,False,False,True,False,exception:RuntimeError,,,0,0.000101,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.0, ""total_sim_steps"": 0, ""total_wall_seconds"": 0.000101, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,control_001,2026-08-14T18:01:37.637933+00:00,5259,openai,gpt-4o,red,none,0.0,none,,False,False,True,False,exception:RuntimeError,,,0,0.000135,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.0, ""total_sim_steps"": 0, ""total_wall_seconds"": 0.000135, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,control_002,2026-08-14T18:01:37.663191+00:00,912,openai,gpt-4o,red,none,0.0,none,,False,False,True,False,exception:RuntimeError,,,0,7e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.0, ""total_sim_steps"": 0, ""total_wall_seconds"": 7e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,control_003,2026-08-14T18:01:37.686633+00:00,3987,openai,gpt-4o,red,none,0.0,none,,False,False,True,False,exception:RuntimeError,,,0,8.2e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.0, ""total_sim_steps"": 0, ""total_wall_seconds"": 8.2e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,control_004,2026-08-14T18:01:37.710821+00:00,8094,openai,gpt-4o,red,none,0.0,none,,False,False,True,False,exception:RuntimeError,,,0,7.9e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.0, ""total_sim_steps"": 0, ""total_wall_seconds"": 7.9e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,sensor_lag_low_000,2026-08-14T18:01:37.733279+00:00,7311,openai,gpt-4o,red,sensor_lag,0.33,immediate,,True,False,True,False,exception:RuntimeError,,,0,8.6e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.33, ""total_sim_steps"": 0, ""total_wall_seconds"": 8.6e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,sensor_lag_low_001,2026-08-14T18:01:37.753905+00:00,4835,openai,gpt-4o,red,sensor_lag,0.33,immediate,,True,False,True,False,exception:RuntimeError,,,0,9.7e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.33, ""total_sim_steps"": 0, ""total_wall_seconds"": 9.7e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,sensor_lag_low_002,2026-08-14T18:01:37.778416+00:00,440,openai,gpt-4o,red,sensor_lag,0.33,immediate,,True,False,True,False,exception:RuntimeError,,,0,8.9e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.33, ""total_sim_steps"": 0, ""total_wall_seconds"": 8.9e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,sensor_lag_low_003,2026-08-14T18:01:37.796606+00:00,1451,openai,gpt-4o,red,sensor_lag,0.33,immediate,,True,False,True,False,exception:RuntimeError,,,0,8.1e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.33, ""total_sim_steps"": 0, ""total_wall_seconds"": 8.1e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
phase_a_pilot,sensor_lag_low_004,2026-08-14T18:01:37.813741+00:00,1046,openai,gpt-4o,red,sensor_lag,0.33,immediate,,True,False,True,False,exception:RuntimeError,,,0,7.7e-05,0,0,0,0,,,0,0,0,"{""fault_intensity"": 0.33, ""total_sim_steps"": 0, ""total_wall_seconds"": 7.7e-05, ""llm_total_tokens"": 0, ""llm_prompt_tokens"": 0, ""llm_completion_tokens"": 0, ""replan_count"": 0}"
